run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_resume,1310,3000,121924,0.2941,0.1153,775.4,0.195,0.03,6,66.4
b64_resume,1320,3000,122589,0.3192,0.1334,821.4,0.177,0.03,4,66.5
b64_resume,1330,3000,123252,0.3193,0.1275,830.5,0.179,0.04,4,66.3
b64_resume,1340,3000,123915,0.3179,0.1246,829.1,0.217,0.04,4,66.3
b64_resume,1350,3000,124578,0.3220,0.1308,788.8,0.211,0.03,5,66.3
b64_resume,1360,3000,125245,0.3271,0.1321,826.4,0.198,0.03,4,66.7
b64_resume,1370,3000,125907,0.3243,0.1283,939.2,0.236,0.04,4,66.2
b64_resume,1380,3000,126570,0.3086,0.1219,927.2,0.228,0.04,5,66.3
b64_resume,1390,3000,127232,0.3165,0.1259,957.1,0.264,0.04,5,66.2
b64_resume,1400,3000,127896,0.3060,0.1295,851.9,0.216,0.04,5,66.4
b64_resume,1410,3000,128560,0.2950,0.1102,805.2,0.190,0.04,5,66.4
b64_resume,1420,3000,129224,0.3358,0.1075,853.7,0.245,0.04,6,66.4
b64_resume,1430,3000,129887,0.3364,0.1207,869.3,0.254,0.03,4,66.3
b64_resume,1440,3000,130552,0.3122,0.1202,932.0,0.271,0.03,5,66.5
b64_resume,1450,3000,131215,0.3085,0.1239,884.2,0.257,0.03,4,66.3
b64_resume,1460,3000,131879,0.3275,0.1255,909.1,0.312,0.03,5,66.4
b64_resume,1470,3000,132541,0.3365,0.1287,847.1,0.247,0.03,4,66.2
b64_resume,1480,3000,133205,0.3298,0.1323,839.1,0.237,0.04,4,66.4
b64_resume,1490,3000,133869,0.3129,0.1165,954.0,0.273,0.04,6,66.4
b64_resume,1500,3000,134532,0.3244,0.1222,879.5,0.214,0.03,5,66.3
b64_resume,1510,3000,135277,0.3259,0.1273,865.8,0.184,0.03,5,74.5
b64_resume,1520,3000,135939,0.2899,0.1253,824.1,0.179,0.04,4,66.2
b64_resume,1530,3000,136603,0.2910,0.1306,820.3,0.237,0.04,4,66.4
b64_resume,1540,3000,137266,0.2857,0.1253,854.5,0.203,0.04,4,66.3
b64_resume,1550,3000,137929,0.3165,0.1264,852.8,0.224,0.04,6,66.3
b64_resume,1560,3000,138593,0.3039,0.1366,816.4,0.220,0.04,6,66.4
b64_resume,1570,3000,139256,0.3023,0.1237,835.4,0.240,0.04,4,66.3
b64_resume,1580,3000,139917,0.3195,0.1260,847.3,0.215,0.04,6,66.1
b64_resume,1590,3000,140581,0.3201,0.1212,870.2,0.241,0.04,4,66.4
b64_resume,1600,3000,141244,0.3141,0.1153,821.3,0.204,0.04,4,66.3
b64_resume,1610,3000,141907,0.3084,0.1090,796.8,0.191,0.03,5,66.3
b64_resume,1620,3000,142568,0.2980,0.1229,809.4,0.230,0.04,4,66.1
b64_resume,1630,3000,143232,0.2863,0.1249,794.4,0.226,0.04,4,66.4
b64_resume,1640,3000,143895,0.3029,0.1319,889.5,0.230,0.04,5,66.3
b64_resume,1650,3000,144556,0.3442,0.1182,957.1,0.250,0.04,5,66.1
b64_resume,1660,3000,145219,0.3339,0.1266,969.2,0.283,0.04,5,66.3
b64_resume,1670,3000,145883,0.3216,0.1343,871.3,0.210,0.04,4,66.4
b64_resume,1680,3000,146546,0.3062,0.1204,785.9,0.180,0.04,4,66.3
b64_resume,1690,3000,147212,0.3200,0.1280,906.0,0.280,0.04,4,66.6
b64_resume,1700,3000,147876,0.3446,0.1332,845.9,0.233,0.04,5,66.4
b64_resume,1710,3000,148541,0.3254,0.1269,817.3,0.199,0.04,6,66.5
b64_resume,1720,3000,149204,0.3135,0.1250,851.7,0.224,0.04,4,66.3
b64_resume,1730,3000,149866,0.2979,0.1325,848.1,0.195,0.04,4,66.2
b64_resume,1740,3000,150529,0.3200,0.1343,796.5,0.199,0.03,5,66.3
b64_resume,1750,3000,151191,0.2995,0.1363,785.4,0.221,0.03,5,66.2
b64_resume,1760,3000,151870,0.3247,0.1294,823.8,0.229,0.04,6,67.9
b64_resume,1770,3000,152537,0.3130,0.1335,775.2,0.200,0.04,6,66.7
b64_resume,1780,3000,153200,0.2972,0.1416,770.7,0.194,0.04,4,66.3
b64_resume,1790,3000,153865,0.2937,0.1313,829.2,0.190,0.04,4,66.5
b64_resume,1800,3000,154528,0.3122,0.1250,888.8,0.183,0.04,4,66.3
b64_resume,1810,3000,155190,0.3031,0.1423,809.1,0.188,0.04,6,66.2
